arch,bin,func,depth
amd64,uniq,sym.version_etc_va,0
amd64,id,dbg.hard_locale,3
amd64,uniq,dbg.hard_locale,3
amd64,nohup,sym.version_etc_va,0
amd64,uniq,sym.quotearg_custom_mem,2
amd64,uniq,dbg.quotearg_colon_mem,2
amd64,id,sym.quotearg_custom,2
amd64,id,dbg.umaxtostr,2
amd64,nohup,dbg.rpl_fflush,2
amd64,nohup,dbg.xizalloc,2
amd64,uniq,dbg.different,0
amd64,id,dbg.quotearg_colon_mem,2
amd64,nohup,sym.xreallocarray,0
amd64,uniq,dbg.quotearg_free,4
amd64,id,dbg.xpalloc,0
amd64,uniq,dbg.close_stream,0
amd64,id,dbg.xirealloc,2
amd64,uniq,dbg.xnmalloc,2
amd64,id,sym.quotearg_char,2
amd64,nohup,dbg.version_etc_ar,4
amd64,id,fcn.00002a40,2
amd64,nohup,dbg.x2realloc,0
amd64,uniq,sym.quotearg_n_custom_mem,2
amd64,id,dbg.print_group,0
amd64,uniq,sym.quotearg_n_style,2
amd64,id,dbg.main,0
amd64,id,sym.quotearg_n_style_mem,2
amd64,id,dbg.set_program_name,5
amd64,id,sym.ximalloc,2
amd64,id,sym.quotearg_style_mem,2
amd64,uniq,dbg.main,0
amd64,id,sym.xicalloc,2
amd64,uniq,sym.quotearg_style,2
amd64,uniq,dbg.x2realloc,0
amd64,realpath,sym.quotearg_buffer_restyled,0
amd64,id,dbg.xgetgroups,2
amd64,uniq,fcn.00002e90,2
amd64,realpath,sym.quotearg_char,2
amd64,id,sym.gettext_quote.part.0,0
amd64,uniq,sym.quotearg_char_mem,2
amd64,realpath,sym.set_custom_quoting,1
amd64,id,sym.version_etc_va,0
amd64,uniq,sym.xmalloc,2
amd64,realpath,dbg.hash_get_entries,7
amd64,uniq,dbg.rpl_mbrtowc,2
amd64,realpath,dbg.set_program_name,5
amd64,uniq,sym.find_field.isra.0,0
amd64,realpath,dbg.x2realloc,0
amd64,id,sym.quotearg_buffer_restyled,0
amd64,realpath,dbg.gl_scratch_buffer_dupfree,3
amd64,uniq,dbg.argmatch_invalid,2
amd64,realpath,sym.quotearg_custom,2
amd64,uniq,dbg.ximemdup,2
amd64,realpath,dbg.gl_scratch_buffer_grow_preserve,0
amd64,uniq,dbg.memcasecmp,4
amd64,id,dbg.xcharalloc,2
amd64,uniq,sym.quotearg_n_style_colon,2
amd64,rm,sym.gettext_quote.part.0,0
amd64,realpath,sym.compute_bucket_size.isra.0,0
amd64,uniq,dbg.__xargmatch_internal,0
amd64,realpath,sym.xreallocarray,0
amd64,uniq,dbg.argmatch,8
amd64,rm,dbg.fd_safer,2
amd64,rm,dbg.can_write_any_file,2
amd64,uniq,sym.writeline,4
amd64,rm,sym.argmatch_exact,4
amd64,rm,sym.xrealloc,0
amd64,realpath,dbg.main,0
amd64,rm,dbg.hash_initialize,3
amd64,realpath,dbg.locale_charset,2
amd64,uniq,sym.xmemdup,2
amd64,realpath,sym.quotearg_n_custom,2
amd64,rm,dbg.ximemdup,2
amd64,uniq,sym.xireallocarray,2
amd64,rm,sym.set_custom_quoting,1
amd64,uniq,dbg.rpl_fclose,0
amd64,rm,dbg.hash_do_for_each,0
amd64,uniq,dbg.xstrtoumax,0
amd64,uniq,sym.quotearg_n_custom,2
amd64,rm,sym.quotearg_n_style,2
amd64,realpath,dbg.relpath,0
amd64,uniq,dbg.xirealloc,2
amd64,realpath,sym.xrealloc,0
amd64,uniq,dbg.version_etc_ar,4
amd64,rm,dbg.rpl_fts_close,0
amd64,realpath,fcn.00002910,2
amd64,rm,sym.hash_rehash,0
amd64,realpath,dbg.hash_print_statistics,7
amd64,rm,sym.setup_dir,3
amd64,uniq,sym.quotearg_custom,2
amd64,rm,dbg.AD_compare,2
amd64,rm,dbg.rpl_fts_set,2
amd64,realpath,sym.xcalloc,2
amd64,uniq,dbg.xinmalloc,2
amd64,uniq,sym.gettext_quote.part.0,0
amd64,realpath,dbg.triple_compare_ino_str,2
amd64,rm,dbg.__xargmatch_internal,0
amd64,realpath,dbg.close_stdout,0
amd64,realpath,dbg.xirealloc,2
amd64,realpath,sym.hash_rehash,0
amd64,rm,dbg.fts_stat,0
amd64,realpath,dbg.hash_table_ok,0
amd64,realpath,dbg.xinmalloc,2
amd64,realpath,dbg.version_etc,0
amd64,rm,dbg.xirealloc,2
amd64,rm,entry.init0,2
amd64,realpath,dbg.check_tuning,0
amd64,rm,sym.cache_fstatat.constprop.0,0
amd64,realpath,dbg.hash_remove,10
amd64,rm,sym.filesystem_type,0
amd64,rm,dbg.xnrealloc,0
amd64,realpath,sym.hash_get_first,5
amd64,realpath,dbg.quotearg_colon_mem,2
amd64,realpath,sym.quotearg_custom_mem,2
amd64,rm,dbg.xizalloc,2
amd64,realpath,dbg.xzalloc,2
amd64,realpath,dbg.hash_do_for_each,0
amd64,realpath,sym.xicalloc,2
amd64,realpath,dbg.xstrdup,2
amd64,rm,dbg.fts_sort,0
amd64,realpath,dbg.hard_locale,3
amd64,rm,dbg.usage,0
amd64,realpath,sym.hash_insert_if_absent,0
amd64,rm,dbg.ximemdup0,2
amd64,realpath,dbg.rpl_fflush,2
amd64,realpath,sym.hash_get_max_bucket_length,7
amd64,rm,dbg.version_etc_arn,0
amd64,realpath,sym.hash_get_next,4
amd64,rm,dbg.hash_get_entries,7
amd64,realpath,dbg.rpl_mbrtowc,2
amd64,rm,dbg.quotearg_alloc_mem,2
amd64,realpath,sym.quotearg_n_style_mem,2
amd64,rm,dbg.hash_remove,10
amd64,realpath,sym.quotearg_n_custom_mem,2
amd64,rm,dbg.rpl_fts_open,0
amd64,realpath,dbg.xizalloc,2
amd64,realpath,sym.quotearg_style,2
amd64,realpath,sym.ximalloc,2
amd64,rm,sym.xcalloc,2
amd64,rm,dbg.locale_charset,2
amd64,realpath,dbg.xpalloc,0
amd64,realpath,dbg.ximemdup0,2
amd64,rm,dbg.hash_print_statistics,7
amd64,realpath,sym.hash_find_entry,0
amd64,rm,sym.transfer_entries,0
amd64,rm,sym.hash_lookup,4
amd64,realpath,sym.version_etc_va,0
amd64,rm,sym.hash_find_entry,0
amd64,realpath,sym.quotearg_n_style_colon,2
amd64,rm,dbg.close_stream,0
amd64,realpath,dbg.hash_insert,2
amd64,realpath,dbg.gl_scratch_buffer_grow,2
amd64,rm,dbg.version_etc_ar,4
amd64,realpath,dbg.buffer_or_output,3
amd64,rm,sym.x2nrealloc,0
amd64,realpath,dbg.xcharalloc,2
amd64,realpath,dbg.hash_free,0
amd64,realpath,sym.realpath_canon,2
amd64,rm,dbg.fts_safe_changedir,0
amd64,realpath,dbg.hash_initialize,3
amd64,realpath,sym.transfer_entries,0
amd64,realpath,dbg.quotearg_colon,2
amd64,realpath,entry.fini0,4
amd64,rm,dbg.argmatch,8
amd64,rm,sym.quotearg_custom,2
amd64,realpath,dbg.seen_file,2
amd64,rm,sym.version_etc_va,0
amd64,realpath,sym.quotearg_style_mem,2
amd64,rm,dbg.open_safer,2
amd64,realpath,sym.x2nrealloc,0
amd64,realpath,sym.quotearg_n_style,2
amd64,rm,dbg.hash_free,0
amd64,rm,dbg.argmatch_invalid,2
amd64,rm,dbg.hash_string,4
amd64,rm,sym.xicalloc,2
amd64,rm,dbg.rpl_fflush,2
amd64,rm,dbg.yesno,4
amd64,rm,dbg.hash_table_ok,0
amd64,rm,dbg.quotearg_colon_mem,2
amd64,dd,dbg.argmatch,8
amd64,rm,dbg.close_stdin,0
amd64,dd,sym.alloc_obuf,4
amd64,rm,dbg.check_tuning,0
amd64,dd,sym.quotearg_custom_mem,2
amd64,rm,dbg.freadahead,2
amd64,dd,dbg.version_etc,0
amd64,dd,dbg.synchronize_output,0
amd64,rm,sym.quotearg_buffer_restyled,0
amd64,rm,dbg.opendirat,3
amd64,rm,sym.xmemdup,2
amd64,rm,dbg.rpl_mbrtowc,2
amd64,rm,sym.rpl_fts_read,0
amd64,rm,sym.quotearg_n_custom_mem,2
amd64,rm,sym.xireallocarray,2
amd64,rm,dbg.argmatch_valid,4
amd64,rm,dbg.file_type,8
amd64,rm,dbg.set_program_name,5
amd64,rm,dbg.rpl_fseeko,4
amd64,rm,dbg.restore_initial_cwd,3
amd64,rm,dbg.hash_insert,2
amd64,rm,dbg.xnmalloc,2
amd64,rm,dbg.setlocale_null_r,0
amd64,rm,dbg.cycle_warning_required,2
amd64,rm,sym.prompt.isra.0,0
amd64,rm,sym._init,2
amd64,rm,dbg.argmatch_to_argument,4
amd64,rm,dbg.quotearg_colon,2
amd64,rm,sym.quotearg_n_style_mem,2
amd64,rm,dbg.xzalloc,2
amd64,rm,dbg.hash_clear,7
amd64,rm,sym.quotearg_n_custom,2
amd64,rm,sym.enter_dir,0
amd64,rm,dbg.xfts_open,3
amd64,rm,dbg.last_component,6
amd64,rm,dbg.openat_safer,2
amd64,rm,dbg.xinmalloc,2
amd64,rm,dbg.rpl_fcntl,0
amd64,rm,dbg.rpl_fts_children,0
amd64,rm,sym.hash_get_max_bucket_length,7
amd64,rm,sym.quotearg_custom_mem,2
amd64,rm,dbg.version_etc,0
amd64,rm,sym.quotearg_char,2
amd64,dd,sym.quotearg_buffer_restyled,0
amd64,dd,dbg.quotearg_colon,2
amd64,rm,dbg.rm,0
amd64,dd,sym.quotearg_n_style_mem,2
